DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
PT:POPULATION_CLOCK(2.0.0),3,3,Q,2022-Q3,75488,PSNS,,
PT:POPULATION_CLOCK(2.0.0),2,4,Q,2022-Q3,13945,PSNS,,
PT:POPULATION_CLOCK(2.0.0),6,5,Q,2022-Q3,39572,PSNS,,
PT:POPULATION_CLOCK(2.0.0),9,7,Q,2022-Q3,247426,PSNS,,
PT:POPULATION_CLOCK(2.0.0),2,8,Q,2022-Q3,2133,PSNS,,
PT:POPULATION_CLOCK(2.0.0),6,1,Q,2022-Q3,109720,PSNS,,
PT:POPULATION_CLOCK(2.0.0),9,3,Q,2022-Q3,5316562,PSNS,,
PT:POPULATION_CLOCK(2.0.0),3,7,Q,2022-Q3,5776,PSNS,,
PT:POPULATION_CLOCK(2.0.0),1,AUS,Q,2022-Q3,299314,PSNS,,
PT:POPULATION_CLOCK(2.0.0),2,AUS,Q,2022-Q3,164495,PSNS,,
PT:POPULATION_CLOCK(2.0.0),5,1,Q,2022-Q3,123474,PSNS,,
PT:POPULATION_CLOCK(2.0.0),4,3,Q,2022-Q3,68105,PSNS,,
PT:POPULATION_CLOCK(2.0.0),8,3,Q,2022-Q3,40620,PSNS,,
PT:POPULATION_CLOCK(2.0.0),1,4,Q,2022-Q3,18763,PSNS,,
PT:POPULATION_CLOCK(2.0.0),7,8,Q,2022-Q3,25332,PSNS,,
PT:POPULATION_CLOCK(2.0.0),4,2,Q,2022-Q3,137915,PSNS,,
PT:POPULATION_CLOCK(2.0.0),8,4,Q,2022-Q3,564,PSNS,,
PT:POPULATION_CLOCK(2.0.0),1,5,Q,2022-Q3,33102,PSNS,,
PT:POPULATION_CLOCK(2.0.0),5,6,Q,2022-Q3,1617,PSNS,,
PT:POPULATION_CLOCK(2.0.0),7,AUS,Q,2022-Q3,457344,PSNS,,
PT:POPULATION_CLOCK(2.0.0),7,1,Q,2022-Q3,135924,PSNS,,
PT:POPULATION_CLOCK(2.0.0),6,4,Q,2022-Q3,31452,PSNS,,
PT:POPULATION_CLOCK(2.0.0),6,6,Q,2022-Q3,15412,PSNS,,
PT:POPULATION_CLOCK(2.0.0),2,7,Q,2022-Q3,1118,PSNS,,
PT:POPULATION_CLOCK(2.0.0),5,7,Q,2022-Q3,1993,PSNS,,
PT:POPULATION_CLOCK(2.0.0),9,8,Q,2022-Q3,430691,PSNS,,
PT:POPULATION_CLOCK(2.0.0),4,1,Q,2022-Q3,148127,PSNS,,
PT:POPULATION_CLOCK(2.0.0),8,2,Q,2022-Q3,-16916,PSNS,,
PT:POPULATION_CLOCK(2.0.0),2,3,Q,2022-Q3,32323,PSNS,,
PT:POPULATION_CLOCK(2.0.0),3,4,Q,2022-Q3,18012,PSNS,,
PT:POPULATION_CLOCK(2.0.0),7,5,Q,2022-Q3,33520,PSNS,,
PT:POPULATION_CLOCK(2.0.0),1,6,Q,2022-Q3,5633,PSNS,,
PT:POPULATION_CLOCK(2.0.0),6,8,Q,2022-Q3,24840,PSNS,,
PT:POPULATION_CLOCK(2.0.0),3,AUS,Q,2022-Q3,516166,PSNS,,
PT:POPULATION_CLOCK(2.0.0),8,1,Q,2022-Q3,-26204,PSNS,,
PT:POPULATION_CLOCK(2.0.0),3,2,Q,2022-Q3,90391,PSNS,,
PT:POPULATION_CLOCK(2.0.0),7,3,Q,2022-Q3,93168,PSNS,,
PT:POPULATION_CLOCK(2.0.0),7,4,Q,2022-Q3,30888,PSNS,,
PT:POPULATION_CLOCK(2.0.0),2,5,Q,2022-Q3,14896,PSNS,,
PT:POPULATION_CLOCK(2.0.0),6,7,Q,2022-Q3,16612,PSNS,,
PT:POPULATION_CLOCK(2.0.0),1,8,Q,2022-Q3,5476,PSNS,,
PT:POPULATION_CLOCK(2.0.0),8,AUS,Q,2022-Q3,0,PSNS,,
PT:POPULATION_CLOCK(2.0.0),3,1,Q,2022-Q3,271601,PSNS,,
