DATAFLOW,MEASURE,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
PT:RT(1.0.0),M1,43,20,AUS,M,1982-04,360.7,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1982-05,362.6,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1982-06,365.1,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1982-07,362,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1982-08,359.3,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1982-09,363.8,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1982-10,359,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1982-11,375.1,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1982-12,375.9,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-01,386.1,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-02,379.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-03,395.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-04,423.9,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-05,390.5,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-06,396.3,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-07,402,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-08,406.4,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-09,418.3,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-10,406.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-11,399.1,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1983-12,413.5,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-01,421.1,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-02,421.4,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-03,444.1,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-04,431,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-05,431.8,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-06,419.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-07,434.5,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-08,434.1,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-09,429.1,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-10,440,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-11,443,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1984-12,441.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-01,455,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-02,466.6,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-03,459.6,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-04,467.4,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-05,481.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-06,487.9,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-07,486.1,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-08,493.5,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-09,490.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-10,509.3,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-11,519.3,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1985-12,515.4,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-01,498.6,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-02,505.7,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-03,479.8,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-04,511.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-05,534,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-06,518,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-07,512,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-08,531.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-09,523,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-10,522.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-11,530.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1986-12,536.2,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1987-01,518.7,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1987-02,528.4,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1987-03,538.4,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1987-04,539.4,AUD,6,,
PT:RT(1.0.0),M1,43,20,AUS,M,1987-05,552.6,AUD,6,,
