DATAFLOW,MEASURE,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
PT:RT(1.0.0),M4,20,10,4,Q,1983-Q3,,PCT,0,u,
PT:RT(1.0.0),M4,20,10,4,Q,1983-Q4,11.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1984-Q1,-17.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1984-Q2,4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1984-Q3,-1.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1984-Q4,19.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1985-Q1,-16.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1985-Q2,5.5,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1985-Q3,-1.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1985-Q4,19,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1986-Q1,-19.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1986-Q2,8.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1986-Q3,-4.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1986-Q4,14.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1987-Q1,-16.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1987-Q2,7.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1987-Q3,1.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1987-Q4,15.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1988-Q1,-17.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1988-Q2,3.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1988-Q3,1.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1988-Q4,19.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1989-Q1,-18.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1989-Q2,3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1989-Q3,0.6,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1989-Q4,17.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1990-Q1,-15.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1990-Q2,4.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1990-Q3,-1.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1990-Q4,19.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1991-Q1,-16.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1991-Q2,1.5,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1991-Q3,1.6,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1991-Q4,14.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1992-Q1,-17.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1992-Q2,3.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1992-Q3,-3.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1992-Q4,17.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1993-Q1,-17.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1993-Q2,5.6,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1993-Q3,0.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1993-Q4,20.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1994-Q1,-15.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1994-Q2,1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1994-Q3,1.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1994-Q4,20.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1995-Q1,-16.5,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1995-Q2,7.6,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1995-Q3,0.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1995-Q4,18.6,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1996-Q1,-17.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1996-Q2,3.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1996-Q3,-0.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1996-Q4,15.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1997-Q1,-16.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1997-Q2,4.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1997-Q3,4.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1997-Q4,19.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1998-Q1,-14.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1998-Q2,3.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1998-Q3,-0.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1998-Q4,17.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1999-Q1,-15.5,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1999-Q2,-0.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1999-Q3,6,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,1999-Q4,18.5,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2000-Q1,-16.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2000-Q2,5,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2000-Q3,-2.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2000-Q4,21.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2001-Q1,-16.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2001-Q2,5.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2001-Q3,2.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2001-Q4,18.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2002-Q1,-13.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2002-Q2,3.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2002-Q3,2.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2002-Q4,17.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2003-Q1,-17.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2003-Q2,4.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2003-Q3,-0.5,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2003-Q4,21.6,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2004-Q1,-14.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2004-Q2,2.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2004-Q3,1.6,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2004-Q4,17.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2005-Q1,-15.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2005-Q2,0.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2005-Q3,2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2005-Q4,14.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2006-Q1,-14.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2006-Q2,3.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2006-Q3,1.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2006-Q4,17.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2007-Q1,-12.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2007-Q2,-0.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2007-Q3,1.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2007-Q4,19.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2008-Q1,-11.9,PCT,0,,
