DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1997-Q3,67.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1997-Q4,68.1,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1998-Q1,68.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1998-Q2,68.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1998-Q3,69.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1998-Q4,70,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1999-Q1,70.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1999-Q2,70.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1999-Q3,71.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,1999-Q4,71.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2000-Q1,72.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2000-Q2,72.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2000-Q3,73.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2000-Q4,74,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2001-Q1,74.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2001-Q2,74.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2001-Q3,75.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2001-Q4,76.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2002-Q1,76.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2002-Q2,77.1,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2002-Q3,77.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2002-Q4,78.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2003-Q1,79.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2003-Q2,79.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2003-Q3,80.3,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2003-Q4,81.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2004-Q1,82,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2004-Q2,82.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2004-Q3,83.3,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2004-Q4,84.3,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2005-Q1,85,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2005-Q2,85.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2005-Q3,86.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2005-Q4,88.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2006-Q1,89,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2006-Q2,89.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2006-Q3,90.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2006-Q4,91.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2007-Q1,92.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2007-Q2,93.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2007-Q3,94.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2007-Q4,95.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2008-Q1,96.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2008-Q2,97.3,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2008-Q3,98.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2008-Q4,99.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2009-Q1,100.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2009-Q2,101.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2009-Q3,102,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2009-Q4,102.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2010-Q1,103.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2010-Q2,103.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2010-Q3,105.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2010-Q4,106.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2011-Q1,107.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2011-Q2,107.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2011-Q3,109.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2011-Q4,110.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2012-Q1,111.3,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2012-Q2,112.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2012-Q3,113.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2012-Q4,114.1,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2013-Q1,114.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2013-Q2,115.3,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2013-Q3,116.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2013-Q4,117,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2014-Q1,117.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2014-Q2,118.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2014-Q3,119.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2014-Q4,120,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2015-Q1,120.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2015-Q2,120.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2015-Q3,121.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2015-Q4,122.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2016-Q1,122.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2016-Q2,122.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2016-Q3,123.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2016-Q4,124.3,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2017-Q1,124.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2017-Q2,125.1,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2017-Q3,126.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2017-Q4,126.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2018-Q1,127.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2018-Q2,127.7,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2018-Q3,129.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2018-Q4,129.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2019-Q1,130.1,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,TOT,10,3,Q,2019-Q2,130.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1997-Q3,64,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1997-Q4,64.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1998-Q1,64.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1998-Q2,65.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1998-Q3,65.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1998-Q4,65.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1999-Q1,66.5,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1999-Q2,67.2,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1999-Q3,67.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,1999-Q4,67.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2000-Q1,68,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2000-Q2,68.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2000-Q3,69.1,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2000-Q4,69.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2001-Q1,70.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2001-Q2,70.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2001-Q3,71.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2001-Q4,72,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2002-Q1,73,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2002-Q2,73.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2002-Q3,74.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2002-Q4,74.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2003-Q1,75.3,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2003-Q2,75.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2003-Q3,76.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2003-Q4,77,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2004-Q1,77.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2004-Q2,78,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2004-Q3,79,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2004-Q4,80.1,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2005-Q1,80.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2005-Q2,81.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2005-Q3,83,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2005-Q4,83.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2006-Q1,84.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2006-Q2,86.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2006-Q3,87.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2006-Q4,88.9,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2007-Q1,89.8,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2007-Q2,91.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2007-Q3,92.6,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2007-Q4,93.4,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2008-Q1,95.1,IN,9,,
PT:DF_WPI(1.0.0),1,THRPEB,1,B,10,AUS,Q,2008-Q2,97.5,IN,9,,
