STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation value,SOURCE,Source
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM005,Kampong Speu,TONES,Tones,A,Annual,2014,,198984,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM005,Kampong Speu,TONES,Tones,A,Annual,2015,,171950,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM005,Kampong Speu,TONES,Tones,A,Annual,2016,,189099,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM005,Kampong Speu,TONES,Tones,A,Annual,2017,,193460,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM016,Ratanak Kiri,TONES,Tones,A,Annual,2014,,30908,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM016,Ratanak Kiri,TONES,Tones,A,Annual,2015,,35331,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM016,Ratanak Kiri,TONES,Tones,A,Annual,2016,,29340,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM016,Ratanak Kiri,TONES,Tones,A,Annual,2017,,36351,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM010,Kratie,TONES,Tones,A,Annual,2014,,83216,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM010,Kratie,TONES,Tones,A,Annual,2015,,82466,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM010,Kratie,TONES,Tones,A,Annual,2016,,79116,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM010,Kratie,TONES,Tones,A,Annual,2017,,84225,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM011,Mondul Kiri,TONES,Tones,A,Annual,2014,,31625,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM011,Mondul Kiri,TONES,Tones,A,Annual,2015,,30105,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM011,Mondul Kiri,TONES,Tones,A,Annual,2016,,30228,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM011,Mondul Kiri,TONES,Tones,A,Annual,2017,,35964,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM021,Takeo,TONES,Tones,A,Annual,2014,,646712,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM021,Takeo,TONES,Tones,A,Annual,2015,,621234,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM021,Takeo,TONES,Tones,A,Annual,2016,,627219,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM021,Takeo,TONES,Tones,A,Annual,2017,,632442,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM022,Otdar Meanchey,TONES,Tones,A,Annual,2014,,91321,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM022,Otdar Meanchey,TONES,Tones,A,Annual,2015,,84327,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM022,Otdar Meanchey,TONES,Tones,A,Annual,2016,,88490,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM022,Otdar Meanchey,TONES,Tones,A,Annual,2017,,123427,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM,Cambodia,TONES,Tones,A,Annual,2014,,5228330,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM,Cambodia,TONES,Tones,A,Annual,2015,,5191833,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM,Cambodia,TONES,Tones,A,Annual,2016,,5197887,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM,Cambodia,TONES,Tones,A,Annual,2017,,5541424,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM009,Koh Kong,TONES,Tones,A,Annual,2014,,16073,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM009,Koh Kong,TONES,Tones,A,Annual,2015,,16164,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM009,Koh Kong,TONES,Tones,A,Annual,2016,,16514,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM009,Koh Kong,TONES,Tones,A,Annual,2017,,15426,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM003,Kampong Cham,TONES,Tones,A,Annual,2014,,434461,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM003,Kampong Cham,TONES,Tones,A,Annual,2015,,260484,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM003,Kampong Cham,TONES,Tones,A,Annual,2016,,229787,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM003,Kampong Cham,TONES,Tones,A,Annual,2017,,275273,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM012,Phnom Penh,TONES,Tones,A,Annual,2014,,22176,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM012,Phnom Penh,TONES,Tones,A,Annual,2015,,20401,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM012,Phnom Penh,TONES,Tones,A,Annual,2016,,20025,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM012,Phnom Penh,TONES,Tones,A,Annual,2017,,16539,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM004,Kampong Chhnang,TONES,Tones,A,Annual,2014,,284780,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM004,Kampong Chhnang,TONES,Tones,A,Annual,2015,,285002,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM004,Kampong Chhnang,TONES,Tones,A,Annual,2016,,274683,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM004,Kampong Chhnang,TONES,Tones,A,Annual,2017,,303752,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM008,Kandal,TONES,Tones,A,Annual,2014,,221816,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM008,Kandal,TONES,Tones,A,Annual,2015,,224332,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM008,Kandal,TONES,Tones,A,Annual,2016,,191140,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM008,Kandal,TONES,Tones,A,Annual,2017,,206259,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM017,Siem Reap,TONES,Tones,A,Annual,2014,,311869,,MAFF_Agricultural Statistics_2014,
